user_id,sorted_genres
A104QVFVM3WGUC,"['philosophy', 'politics & social sciences', 'politics  government', 'politics  social sciences', 'new, used  rental textbooks', 'united states', 'genre fiction', 'literature & fiction', 'literature  fiction']"
A106ZX768F50MT,"['motivational', 'europe', 'travel', 'thrillers & suspense', 'self-help', 'mystery, thriller & suspense']"
A109DZXQULGEUK,"[""women's studies"", 'family law', 'law', 'social sciences', 'mathematics', 'politics  social sciences', 'biological sciences', 'science  math', 'new, used & rental textbooks', 'relationships', 'politics  government', 'new, used  rental textbooks', 'self-help']"
A10EICDA6FL5VK,"['games  strategy guides', 'music', 'computers  technology', 'arts  photography']"
A10EK749MI5XG8,"['politics & government', 'politics & social sciences', 'americas', 'history', 'genre fiction', 'literature  fiction']"
A10EN7WFRU9Q7W,"['chemistry', 'theology', 'science & math', 'medicine', 'medical books', 'arts & photography', 'music', 'historical', 'teen  young adult', 'genre fiction', 'christian books  bibles', 'romance', 'literature & fiction', 'literature  fiction']"
A10F4UYYQZLJ6T,"['diets & weight loss', 'operating systems', 'programming', 'computers & technology', 'medicine', 'health, fitness & dieting', 'computers  technology', 'medical books']"
A10HS03OERLGFN,"['marketing & sales', 'marketing  sales', 'management  leadership', 'business & money', 'business  money']"
A10R62ZWF6MHLE,"['bible study  reference', 'bible study & reference', 'christian books  bibles', 'christian books & bibles']"
A10SJZ58N9J2WS,"['individual artists', 'industries', 'arts & literature', 'performing arts', 'arts  literature', 'americas', 'new age  spirituality', 'biographies  memoirs', 'leaders  notable people', 'arts & photography', 'social sciences', 'biographies & memoirs', 'history', 'religion  spirituality', 'politics  social sciences', 'business  money', 'arts  photography']"
A1187UZGR7AMOK,"['science, nature  how it works', 'psychology  counseling', 'americas', 'health, fitness  dieting', 'history', 'thrillers  suspense', ""children's books"", 'mystery, thriller  suspense', 'literature & fiction', 'genre fiction']"
A11A9EA3MLF5SU,"['short stories & anthologies', 'short stories  anthologies', 'poetry', 'memoirs', 'growing up & facts of life', 'literary', ""women's fiction"", 'biographies  memoirs', 'literature  fiction', 'literature & fiction', ""children's books""]"
A11BDAH76W6S4J,"['words, language  grammar', 'arts, music  photography', 'contemporary', 'romance', ""women's fiction"", 'romantic suspense', 'reference', 'united states', 'mystery', 'literature  fiction', ""children's books"", 'mystery, thriller  suspense']"
A11BL2CR4DEZA3,"['memoirs', 'romantic comedy', 'thrillers  suspense', 'true crime', 'thrillers & suspense', 'mystery, thriller  suspense', ""women's fiction"", 'graphic design', 'crafts  hobbies', 'mystery, thriller & suspense', 'genre fiction', 'history  criticism', 'biographies  memoirs', 'crafts, hobbies  home', 'humanities', 'arts  photography', 'literature & fiction', 'literature  fiction', 'mystery', 'new, used  rental textbooks', 'contemporary', 'self-help', 'romance']"
A11CQO77N1UNYG,"['politics & government', 'politics & social sciences', 'history  criticism', 'politics  government', 'politics  social sciences', 'literature  fiction']"
